Repository,User,EventType,Comment
strongloop/loopback-boot,slnode,IssueCommentEvent,"Can one of the admins verify this patch? To accept patch and trigger a build add comment "".*ok\W+to\W+test.*"""
balderdashy/sails,Dallas62,IssueCommentEvent,"@mikermcneil
Take a look at https://github.com/lapwinglabs/superjson that can solve this issue.
(Or similar)"
SavioAbdou/IFT215-SavioAbdou,eddyghabachlcu,IssueCommentEvent,"Take a look to the real estate project where we calculated the price within a method.
Then you call this method to print the value within the result amount field."
lmccart/p5.js,kennethdmiller3,IssueCommentEvent,"The absolute value thing isn't necessary, I don't think."
D-Programming-Language/dlang.org,9rnsr,PullRequestReviewCommentEvent,Sorry... fixed.
aspnet/Home,charly1811,IssueCommentEvent,I think its working now . After I installed VS 2015 preview and retried its working 
theforeman/foreman_discovery,ohadlevy,PullRequestReviewCommentEvent,nitpick:whitespace
Dzikoysk/FunnyGuilds,Dzikoysk,IssueCommentEvent,"1. To nie wina FunnyGuilds
2. Dziwne... Podaj pluginy"
LoveHoly/Ex-Astris,Pilad,IssueCommentEvent,"All mods in client , link on mail.RU. Only place Waila-1.5.7a_1.7.10.jar and crash ...."
formly-js/angular-formly,kentcdodds,IssueCommentEvent,Duplicated here #121 
Murodese/pynab,brookesy2,IssueCommentEvent,"I will check later today. Perhaps my debugs in nntplib are getting mixed up somehow. Though if i write a small script to just pull the article with message-id 'BYudncCBH9rU0z_JnZ2dnUVZ5g2dnZ2d@giganews.com', I get no such article."
hexpm/hex_web,josevalim,IssueCommentEvent, :shipit:
ipython/ipython,Carreau,IssueCommentEvent,"seems good, but still a things that push toward a in memory format of notebook stored server side. "
piwik/device-detector,nickurt,IssueCommentEvent,"Isn't it possible to do something with 'a priority'?, 

When moving the 'Windows Mobile/Phone' regexes (oss.yml) just above the Android regexes it will return the correct information, with no tests failing ...

```
array(5) {
  [""type""]=>
  string(7) ""browser""
  [""name""]=>
  string(9) ""IE Mobile""
  [""short_name""]=>
  string(2) ""IM""
  [""version""]=>
  string(4) ""11.0""
  [""engine""]=>
  string(7) ""Trident""
}
array(3) {
  [""name""]=>
  string(13) ""Windows Phone""
  [""short_name""]=>
  string(3) ""WPH""
  [""version""]=>
  string(3) ""8.1""
}
int(1)
string(2) ""NK""
string(9) ""Lumia 928""
```

- - - 
Just added this as new test

```
-
  user_agent: Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 928) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537
  os:
    name: Windows Phone
    short_name: WPH
    version: 8.1
```

I can do a pull requests if needed..."
eternicode/bootstrap-datepicker,acrobat,IssueCommentEvent,Thanks @javarr!
wheresmybento/snakebite,coveralls,IssueCommentEvent,"
[![Coverage Status](https://coveralls.io/builds/1680020/badge)](https://coveralls.io/builds/1680020)

Changes Unknown when pulling **c95c3454796c13cf93065d9f7fbe996ed23bc0ce on feature-update-restaurant** into ** on master**.
"
